,user,item,rating
34555,232,49822,3.0
92398,597,1883,4.0
83350,528,1225,3.5
55324,367,3471,5.0
81840,517,54001,3.0
30819,216,2791,5.0
22455,153,1485,0.5
66307,427,4963,4.0
59887,387,4963,3.5
59240,387,44,1.0
33116,226,586,4.0
96320,603,1050,4.0
93698,599,3654,3.0
73048,472,4993,4.0
91510,594,160,5.0
9853,64,6323,3.5
57990,380,110102,5.0
53021,350,32,4.0
41661,282,40819,4.0
46436,305,80489,4.0
68713,448,410,4.0
20392,135,858,4.0
37962,259,3996,0.5
52373,339,166643,4.0
84828,551,1721,3.5
34096,232,4447,3.0
4863,30,60069,5.0
52979,348,92259,5.0
2563,19,1590,1.0
61573,407,109374,3.5
100510,610,87306,3.5
18846,122,318,5.0
1851,18,1148,4.5
88857,573,7293,2.5
27941,191,94,4.0
34857,233,58025,3.0
54424,357,7078,5.0
25362,177,6157,3.0
50961,330,110,3.5
7938,54,150,3.0
37518,253,1225,5.0
30710,215,49272,4.0
30321,212,3967,3.5
56208,372,497,4.0
75422,476,597,3.0
22346,151,842,3.0
31091,217,1230,2.0
54786,362,1682,4.0
47772,308,4963,1.0
35921,244,2243,2.0
15518,102,160,3.0
31169,217,1616,3.0
16703,105,76093,5.0
85606,555,2288,4.0
86528,560,93510,3.0
56093,371,1206,5.0
61731,409,912,4.0
59189,386,185,1.0
43052,288,8781,3.5
28008,191,673,5.0
43036,288,7362,3.5
58371,381,6333,3.0
83181,527,527,1.0
54114,356,61132,3.5
75112,474,43460,3.0
85999,559,104,3.0
54384,357,4622,3.0
5080,33,507,4.0
36473,249,1367,3.5
831,6,710,3.0
31723,219,2701,2.0
70391,448,136598,1.5
98163,606,6591,4.0
32108,220,1429,3.5
73251,474,605,3.0
41393,280,56367,4.0
97286,605,8977,1.0
81325,514,4833,3.5
82605,524,1303,5.0
960,7,5816,4.5
100590,610,98623,3.0
68762,448,673,3.0
53291,352,3481,3.0
88294,570,1196,4.0
81108,514,593,5.0
16200,104,80584,4.0
80292,506,40629,4.0
97025,603,4766,4.0
61240,401,49274,3.5
39404,274,1033,3.5
98223,606,7101,2.5
40957,275,5620,2.0
79357,492,761,4.0
23197,159,64969,4.0
46914,307,1207,3.0
95069,599,168492,3.0
38270,263,708,4.0
48202,312,4370,4.0
58673,382,5218,4.5
48669,314,589,5.0
